Mantel Results for GGD (2) vs Phiptp,,,,
,,,,
X Matrix,GGD (2),,,
Y Matrix,Phiptp,,,
Data Title,,,,
,,,,
No. Samples,53,No. in Matrix,1378,
No. Permutations,99,,,
,,,,
SSx,SSy,SPxy,Rxy,P(rxy-rand >= rxy-data)
1194133.169,1194133.169,1194133.169,1.000,0.010
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
70.178,70.178,,3,38
64.031,64.031,,4,38
71.007,71.007,,5,38
70.114,70.114,,6,38
73.246,73.246,,7,38
69.462,69.462,,8,38
70.257,70.257,,9,38
81.598,81.598,,10,38
81.598,81.598,,11,38
81.598,81.598,,12,38
81.598,81.598,,13,38
83.104,83.104,,14,38
69.721,69.721,,15,38
66.620,66.620,,16,38
65.307,65.307,,17,38
41.437,41.437,,18,38
36.125,36.125,,19,38
33.242,33.242,,20,38
25.456,25.456,,21,38
21.360,21.360,,22,38
11.500,11.500,,23,38
12.540,12.540,,24,38
7.632,7.632,,25,38
7.632,7.632,,26,38
7.632,7.632,,27,38
6.325,6.325,,28,38
5.657,5.657,,29,38
10.012,10.012,,30,38
13.509,13.509,,31,38
13.509,13.509,,32,38
13.509,13.509,,33,38
10.308,10.308,,34,38
9.849,9.849,,35,38
0.000,0.000,,36,38
0.000,0.000,,37,38
73.330,73.330,,1,39
67.985,67.985,,2,39
61.679,61.679,,3,39
55.238,55.238,,4,39
61.792,61.792,,5,39
60.574,60.574,,6,39
63.508,63.508,,7,39
59.508,59.508,,8,39
60.508,60.508,,9,39
72.062,72.062,,10,39
72.062,72.062,,11,39
72.062,72.062,,12,39
72.062,72.062,,13,39
73.062,73.062,,14,39
59.576,59.576,,15,39
55.700,55.700,,16,39
54.829,54.829,,17,39
31.516,31.516,,18,39
28.324,28.324,,19,39
22.589,22.589,,20,39
13.901,13.901,,21,39
11.180,11.180,,22,39
7.280,7.280,,23,39
12.166,12.166,,24,39
11.402,11.402,,25,39
11.402,11.402,,26,39
11.402,11.402,,27,39
